run_date,yyyyqq,start_date,travel_date,entity,complaint_reason
"04/09/2012 14:30","2008Q3","01/07/2008","25/08/2008","Virgin Atlantic Airways","Seating"
"04/09/2012 14:30","2008Q3","01/07/2008","","Air India","In-flight Services"
"04/09/2012 14:30","2008Q3","01/07/2008","10/06/2008","Ryanair","Cancellations"
"04/09/2012 14:30","2008Q3","01/07/2008","06/04/2008","EasyJet","Cancellations"
"04/09/2012 14:30","2008Q3","01/07/2008","","Virgin Atlantic Airways","Mishandled baggage"
"04/09/2012 14:30","2008Q3","01/07/2008","06/04/2008","Aer Lingus","Cancellations"
"04/09/2012 14:30","2008Q3","01/07/2008","26/05/2008","Sterling","Schedule Changes"
"04/09/2012 14:30","2008Q3","01/07/2008","","Emirates","Seating"
"04/09/2012 14:30","2008Q3","01/07/2008","25/05/2008","Flybe","Cancellations"
"04/09/2012 14:30","2008Q3","01/07/2008","11/06/2008","EasyJet","Delays"
"04/09/2012 14:30","2008Q3","01/07/2008","17/06/2008","British Airways plc","Special Needs"
"04/09/2012 14:30","2008Q3","01/07/2008","07/04/2008","Air France","Mishandled baggage"
"04/09/2012 14:30","2008Q3","01/07/2008","28/08/2008","Ryanair","Ticketing / refund"
"04/09/2012 14:30","2008Q3","01/07/2008","11/04/2008","Wizz Air Hungary Airlines Ltd","Delays"
"04/09/2012 14:30","2008Q3","01/07/2008","","EasyJet","Ticketing / refund"
"04/09/2012 14:30","2008Q3","01/07/2008","30/05/2008","bmi baby","Cancellations"
"04/09/2012 14:30","2008Q3","01/07/2008","15/05/2008","United Airlines","Cancellations"
"04/09/2012 14:30","2008Q3","01/07/2008","28/05/2008","bmi baby","Cancellations"
"04/09/2012 14:30","2008Q3","01/07/2008","26/10/2007","South African Airways","Cancellations"
"04/09/2012 14:30","2008Q3","01/07/2008","21/10/2007","Jet2","Mishandled baggage"
"04/09/2012 14:30","2008Q3","01/07/2008","16/03/2008","Emirates","Mishandled baggage"
"04/09/2012 14:30","2008Q3","01/07/2008","","Monarch Airlines Limited","Diverted Flight"
"04/09/2012 14:30","2008Q3","01/07/2008","29/02/2008","Aer Lingus","Delays"
"04/09/2012 14:30","2008Q3","01/07/2008","","British Airways plc","Reservation Issues"
"04/09/2012 14:30","2008Q3","01/07/2008","12/03/2008","Lufthansa German Airlines","Cancellations"
"04/09/2012 14:30","2008Q3","01/07/2008","11/10/2008","BMI","Check-in problems"
"04/09/2012 14:30","2008Q3","01/07/2008","","Travel agent","Fares"
"04/09/2012 14:30","2008Q3","01/07/2008","28/03/2008","British Airways plc","Mishandled baggage"
"04/09/2012 14:30","2008Q3","02/07/2008","","Wizz Air Hungary Airlines Ltd","Ticketing / refund"
"04/09/2012 14:30","2008Q3","02/07/2008","03/04/2008","Jet2","Reservation Issues"
"04/09/2012 14:30","2008Q3","02/07/2008","14/07/2008","Ryanair","Reservation Issues"
"04/09/2012 14:30","2008Q3","02/07/2008","05/01/2008","British Airways plc","Cancellations"
"04/09/2012 14:30","2008Q3","02/07/2008","06/12/2007","British Airways plc","Check-in problems"
"04/09/2012 14:30","2008Q3","02/07/2008","19/06/2008","EasyJet","Reservation Issues"
"04/09/2012 14:30","2008Q3","02/07/2008","28/06/2008","British Airways plc","Cancellations"
"04/09/2012 14:30","2008Q3","02/07/2008","04/01/2008","Air France","Mishandled baggage"
"04/09/2012 14:30","2008Q3","02/07/2008","17/05/2008","Monarch Airlines Limited","Seating"
"04/09/2012 14:30","2008Q3","02/07/2008","06/04/2008","EasyJet","Cancellations"
"04/09/2012 14:30","2008Q3","02/07/2008","28/06/2008","Ryanair","Reservation Issues"
"04/09/2012 14:30","2008Q3","02/07/2008","09/06/2008","KLM Royal Dutch Airlines","Reservation Issues"
"04/09/2012 14:30","2008Q3","02/07/2008","12/05/2008","Thomson Airways","Check-in problems"
"04/09/2012 14:30","2008Q3","02/07/2008","30/06/2008","Ryanair","Other"
"04/09/2012 14:30","2008Q3","02/07/2008","06/04/2008","EasyJet","Cancellations"
"04/09/2012 14:30","2008Q3","02/07/2008","02/05/2008","Thomas Cook Airlines","Mishandled baggage"
"04/09/2012 14:30","2008Q3","02/07/2008","04/07/2008","Ryanair","Reservation Issues"
