run_date,yyyyqq,start_date,travel_date,entity,complaint_reason
26/11/2012 13:40,2012Q3,03-Jul-12,01/05/2012,Monarch Airlines Limited,Delays
26/11/2012 13:40,2012Q3,03-Jul-12,14/05/2012,Air France,Delays
26/11/2012 13:40,2012Q3,03-Jul-12,25/05/2012,Thomson Airways,Delays
26/11/2012 13:40,2012Q3,03-Jul-12,06/09/2011,EgyptAir,Mishandled baggage
26/11/2012 13:40,2012Q3,03-Jul-12,16/04/2012,Emirates,Mishandled baggage
26/11/2012 13:40,2012Q3,03-Jul-12,02/06/2012,Ryanair,Check-in problems
26/11/2012 13:40,2012Q3,03-Jul-12,21/06/2012,Eastern Airways,Cancellations
26/11/2012 13:40,2012Q3,03-Jul-12,27/06/2012,Ryanair,Baggage Allowance
26/11/2012 13:40,2012Q3,03-Jul-12,22/07/2012,Lufthansa German Airlines,Reservation Issues
26/11/2012 13:40,2012Q3,03-Jul-12,16/03/2012,Wizz Air Hungary Airlines Ltd,Reservation Issues
26/11/2012 13:40,2012Q3,03-Jul-12,04/04/2012,Air Malta,Delays
26/11/2012 13:40,2012Q3,03-Jul-12,26/06/2012,Virgin Atlantic Airways,Delays
26/11/2012 13:40,2012Q3,03-Jul-12,,Ryanair,Check-in problems
26/11/2012 13:40,2012Q3,03-Jul-12,12/05/2012,British Airways plc,Mishandled baggage
26/11/2012 13:40,2012Q3,03-Jul-12,31/03/2012,American Airlines,Denied Boarding
26/11/2012 13:40,2012Q3,03-Jul-12,,Aer Lingus,Other
26/11/2012 13:40,2012Q3,03-Jul-12,07/06/2012,Delta Airlines,Missed departure
26/11/2012 13:40,2012Q3,03-Jul-12,14/03/2012,British Airways plc,Cancellations
26/11/2012 13:40,2012Q3,03-Jul-12,08/06/2012,bmi baby,Cancellations
26/11/2012 13:40,2012Q3,03-Jul-12,15/09/2012,bmi baby,Cancellations
26/11/2012 13:40,2012Q3,03-Jul-12,,Ryanair,Special Needs
26/11/2012 13:40,2012Q3,03-Jul-12,23/12/2011,Saudi Arabian Airlines,Mishandled baggage
26/11/2012 13:40,2012Q3,03-Jul-12,30/06/2012,Ryanair,Schedule Changes
26/11/2012 13:40,2012Q3,03-Jul-12,19/06/2012,Blue Air,Denied Boarding
26/11/2012 13:40,2012Q3,03-Jul-12,03/01/2012,Air India,Schedule Changes
26/11/2012 13:40,2012Q3,03-Jul-12,30/03/2012,Airport,Other
26/11/2012 13:40,2012Q3,03-Jul-12,04/02/2012,British Airways plc,Cancellations
26/11/2012 13:40,2012Q3,03-Jul-12,19/06/2012,Flybe,Cancellations
26/11/2012 13:40,2012Q3,03-Jul-12,,Thomas Cook Airlines,Delays
26/11/2012 13:40,2012Q3,03-Jul-12,30/04/2012,British Airways plc,Cancellations
26/11/2012 13:40,2012Q3,03-Jul-12,03/01/2012,Iberia,Delays
26/11/2012 13:40,2012Q3,03-Jul-12,30/04/2012,British Airways plc,Cancellations
26/11/2012 13:40,2012Q3,03-Jul-12,08/06/2012,BMI,Cancellations
26/11/2012 13:40,2012Q3,03-Jul-12,28/06/2012,Thomas Cook Airlines,Denied Boarding
26/11/2012 13:40,2012Q3,03-Jul-12,28/05/2012,EasyJet,Reservation Issues
26/11/2012 13:40,2012Q3,03-Jul-12,02/06/2012,Monarch Airlines Limited,Delays
26/11/2012 13:40,2012Q3,03-Jul-12,11/01/2012,bmi baby,Reservation Issues
26/11/2012 13:40,2012Q3,03-Jul-12,23/06/2012,British Airways plc,Schedule Changes
26/11/2012 13:40,2012Q3,03-Jul-12,21/06/2012,Monarch Airlines Limited,Delays
26/11/2012 13:40,2012Q3,03-Jul-12,15/03/2012,British Airways plc,Delays
26/11/2012 13:40,2012Q3,03-Jul-12,19/05/2012,EasyJet,Denied Boarding
26/11/2012 13:40,2012Q3,03-Jul-12,,Airport,Special Needs
26/11/2012 13:40,2012Q3,03-Jul-12,21/05/2012,Ryanair,Delays
26/11/2012 13:40,2012Q3,03-Jul-12,05/06/2012,Thomson Airways,Delays
26/11/2012 13:40,2012Q3,03-Jul-12,11/05/2012,Thomas Cook Airlines,Reservation Issues
26/11/2012 13:40,2012Q3,03-Jul-12,02/06/2012,Flybe,Check-in problems
26/11/2012 13:40,2012Q3,03-Jul-12,31/05/2012,Monarch Airlines Limited,Delays
26/11/2012 13:40,2012Q3,03-Jul-12,20/06/2012,Middle East Airlines,Mishandled baggage
26/11/2012 13:40,2012Q3,04-Jul-12,22/03/2012,British Airways plc,Mishandled baggage
26/11/2012 13:40,2012Q3,04-Jul-12,31/05/2012,Monarch Airlines Limited,Delays
26/11/2012 13:40,2012Q3,04-Jul-12,17/05/2012,EasyJet,Delays
26/11/2012 13:40,2012Q3,04-Jul-12,24/05/2012,Flybe,Cancellations
26/11/2012 13:40,2012Q3,04-Jul-12,20/05/2012,Thomas Cook Airlines,Delays
26/11/2012 13:40,2012Q3,04-Jul-12,10/04/2012,British Airways plc,Missed connections
26/11/2012 13:40,2012Q3,04-Jul-12,26/02/2012,Thomas Cook Airlines,Delays
26/11/2012 13:40,2012Q3,04-Jul-12,17/04/2012,BMI,Schedule Changes
26/11/2012 13:40,2012Q3,04-Jul-12,15/06/2012,Thomas Cook Airlines,Delays
26/11/2012 13:40,2012Q3,04-Jul-12,17/06/2012,Flybe,Delays
26/11/2012 13:40,2012Q3,04-Jul-12,29/04/2012,Ryanair,Denied Boarding
26/11/2012 13:40,2012Q3,04-Jul-12,21/04/2012,British Airways plc,Delays
26/11/2012 13:40,2012Q3,04-Jul-12,15/03/2012,Flybe,Cancellations
26/11/2012 13:40,2012Q3,04-Jul-12,17/05/2012,Flybe,Cancellations
26/11/2012 13:40,2012Q3,04-Jul-12,20/06/2012,Emirates,Mishandled baggage
26/11/2012 13:40,2012Q3,04-Jul-12,18/05/2012,Flybe,Delays
26/11/2012 13:40,2012Q3,04-Jul-12,01/05/2012,Flybe,Cancellations
26/11/2012 13:40,2012Q3,04-Jul-12,15/08/2012,Flybe,Reservation Issues
26/11/2012 13:40,2012Q3,04-Jul-12,29/03/2012,Aer Arran Express,Cancellations
