run_date,yyyyqq,start_date,travel_date,entity,complaint_reason
19/09/2013,2013Q2,02/04/2013,13/03/2013,Austrian Airlines,Cancellation
19/09/2013,2013Q2,02/04/2013,29/03/2008,Thomas Cook Airlines,Delay
19/09/2013,2013Q2,02/04/2013,,Thomas Cook Airlines,Delay
19/09/2013,2013Q2,02/04/2013,31/08/2011,Monarch Airlines,Delay
19/09/2013,2013Q2,02/04/2013,18/05/2012,Monarch Airlines,Delay
19/09/2013,2013Q2,02/04/2013,31/01/2013,Thomson Airways,Delay
19/09/2013,2013Q2,02/04/2013,10/04/2012,Virgin Atlantic Airways,Delay
19/09/2013,2013Q2,02/04/2013,24/11/2012,Thomson Airways,Delay
19/09/2013,2013Q2,02/04/2013,22/09/2010,Jet2.Com,Delay
19/09/2013,2013Q2,02/04/2013,,Thomas Cook Airlines,Delay
19/09/2013,2013Q2,02/04/2013,08/01/2013,Thomson Airways,Delay
19/09/2013,2013Q2,02/04/2013,18/01/2013,Thomson Airways,Delay
19/09/2013,2013Q2,02/04/2013,20/05/2009,Easyjet Airline Company,Delay
19/09/2013,2013Q2,02/04/2013,21/10/2013,Thomson Airways,Delay
19/09/2013,2013Q2,02/04/2013,27/09/2012,Small Planet Airlines,Delay
19/09/2013,2013Q2,02/04/2013,14/12/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q2,02/04/2013,19/01/2013,Thomson Airways,Delay
19/09/2013,2013Q2,02/04/2013,23/09/2012,Thomson Airways,Delay
19/09/2013,2013Q2,02/04/2013,01/07/2010,Thomas Cook Airlines,Delay
19/09/2013,2013Q2,02/04/2013,16/09/2012,Monarch Airlines,Delay
19/09/2013,2013Q2,02/04/2013,01/10/2012,Monarch Airlines,Delay
19/09/2013,2013Q2,02/04/2013,28/05/2010,Thomas Cook Airlines,Delay
19/09/2013,2013Q2,02/04/2013,21/11/2012,Thomson Airways,Delay
19/09/2013,2013Q2,02/04/2013,09/11/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q2,02/04/2013,08/10/2012,Monarch Airlines,Delay
19/09/2013,2013Q2,02/04/2013,04/02/2013,Qatar Airways,Missed connection
19/09/2013,2013Q2,02/04/2013,03/09/2010,Thomas Cook Airlines,Delay
19/09/2013,2013Q2,02/04/2013,20/02/2013,Virgin Atlantic Airways,Missed connection
19/09/2013,2013Q2,02/04/2013,22/03/2013,Emirates,Denied boarding
19/09/2013,2013Q2,02/04/2013,04/02/2013,Thomas Cook Airlines,Delay
19/09/2013,2013Q2,02/04/2013,03/06/2012,Monarch Airlines,Delay
19/09/2013,2013Q2,02/04/2013,29/05/2010,Thomson Airways,Delay
19/09/2013,2013Q2,02/04/2013,07/07/2012,Jet2.Com,Delay
19/09/2013,2013Q2,02/04/2013,22/12/2012,Air Berlin,Delay
19/09/2013,2013Q2,02/04/2013,31/07/2011,Sky Wings Airlines,Delay
19/09/2013,2013Q2,02/04/2013,02/11/2012,Monarch Airlines,Diversion
19/09/2013,2013Q2,02/04/2013,27/12/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q2,02/04/2013,21/12/2012,Monarch Airlines,Delay
19/09/2013,2013Q2,02/04/2013,22/12/2012,Monarch Airlines,Cancellation
19/09/2013,2013Q2,02/04/2013,10/03/2013,Emirates,Other
19/09/2013,2013Q2,02/04/2013,18/11/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q2,02/04/2013,15/09/2012,Monarch Airlines,Delay
19/09/2013,2013Q2,02/04/2013,02/10/2008,Thomson Airways,Delay
19/09/2013,2013Q2,02/04/2013,17/09/2011,Jet2.Com,Delay
19/09/2013,2013Q2,02/04/2013,03/06/2009,Thomson Airways,Delay
19/09/2013,2013Q2,02/04/2013,24/07/2011,Fly Hellas,Cancellation
19/09/2013,2013Q2,02/04/2013,21/09/2008,Thomas Cook Airlines,Delay
19/09/2013,2013Q2,02/04/2013,18/06/2007,Thomas Cook Airlines,Delay
19/09/2013,2013Q2,02/04/2013,10/01/2013,Thomson Airways,Delay
19/09/2013,2013Q2,02/04/2013,04/06/2012,Thomson Airways,Delay
