Run_Date,YE_Quarter,Entity,Cancellations,Delays,Other,Total Complaints,Passengers (m),Complaints per million passengers
04/09/2012 14:30,2009Q1,Aer Lingus,31,10,21,62,3.6,17.1
04/09/2012 14:30,2009Q1,Air France,22,8,71,101,1.1,95.6
04/09/2012 14:30,2009Q1,Air India,29,10,27,66,0.4,180.7
04/09/2012 14:30,2009Q1,American Airlines,32,5,25,62,2.4,26.3
04/09/2012 14:30,2009Q1,BMI,31,12,59,102,5.7,18
04/09/2012 14:30,2009Q1,bmi baby,139,7,102,248,3.7,66.2
04/09/2012 14:30,2009Q1,British Airways plc,390,56,340,786,33.2,23.7
04/09/2012 14:30,2009Q1,EasyJet,446,92,392,930,28.2,33
04/09/2012 14:30,2009Q1,Emirates,2,4,66,72,2.9,25.1
04/09/2012 14:30,2009Q1,First Choice,6,30,34,70,0.8,83
04/09/2012 14:30,2009Q1,Flybe,92,43,91,226,7,32.5
04/09/2012 14:30,2009Q1,FlyGlobespan,7,24,28,59,1.5,39.3
04/09/2012 14:30,2009Q1,Iberia,15,22,46,83,1,81.4
04/09/2012 14:30,2009Q1,Jet2,4,11,60,75,3.2,23.3
04/09/2012 14:30,2009Q1,KLM Royal Dutch Airlines,50,4,59,113,3.7,30.8
04/09/2012 14:30,2009Q1,Lufthansa German Airlines,28,3,27,58,2.6,22.1
04/09/2012 14:30,2009Q1,Monarch Airlines Limited,10,35,46,91,6.1,15
04/09/2012 14:30,2009Q1,Ryanair,195,79,392,666,28.6,23.3
04/09/2012 14:30,2009Q1,Thomas Cook Airlines,13,70,106,189,8.3,22.8
04/09/2012 14:30,2009Q1,Thomson Airways,14,59,129,202,12.3,16.4
04/09/2012 14:30,2009Q1,Virgin Atlantic Airways,61,47,158,266,5.7,46.4
04/09/2012 14:30,2009Q1,Wizz Air Hungary Airlines Ltd,136,10,25,171,2,84.3
04/09/2012 14:30,2009Q1,Other Airlines,333,172,616,1121,44.4,25.2
04/09/2012 14:30,2009Q1,Total Airline Complaints,2086,813,2920,5819,208.4,27.9
04/09/2012 14:30,2009Q1,Other Complaints,14,0,122,136,,
04/09/2012 14:30,2009Q1,Total Complaints,2100,813,3042,5955,,
