Run_Date,YE_Quarter,Entity,Cancellations,Delays,Other,Total Complaints,Passengers (m),Complaints per million passengers
04/09/2012 14:30,2008Q2,Air France,34,8,60,102,1.1,89.1
04/09/2012 14:30,2008Q2,Air India,37,12,29,78,0.5,162.2
04/09/2012 14:30,2008Q2,BMI,37,15,43,95,5.8,16.4
04/09/2012 14:30,2008Q2,bmi baby,109,28,58,195,4.4,44.6
04/09/2012 14:30,2008Q2,British Airways plc,438,80,395,913,34.5,26.4
04/09/2012 14:30,2008Q2,EasyJet,272,49,259,580,27.2,21.4
04/09/2012 14:30,2008Q2,Emirates,2,3,57,62,2.9,21.4
04/09/2012 14:30,2008Q2,Excel Airways,19,54,52,125,2.7,46.4
04/09/2012 14:30,2008Q2,First Choice,4,18,28,50,4.8,10.5
04/09/2012 14:30,2008Q2,Flybe,229,76,102,407,6.9,59.2
04/09/2012 14:30,2008Q2,FlyGlobespan,41,62,72,175,1.8,95.8
04/09/2012 14:30,2008Q2,Iberia,16,12,66,94,1.1,82.8
04/09/2012 14:30,2008Q2,Jet2,12,6,50,68,3.7,18.4
04/09/2012 14:30,2008Q2,KLM Royal Dutch Airlines,45,6,72,123,3.9,31.3
04/09/2012 14:30,2008Q2,Lufthansa German Airlines,19,4,38,61,2.9,20.8
04/09/2012 14:30,2008Q2,Monarch Airlines Limited,14,36,35,85,6,14.1
04/09/2012 14:30,2008Q2,Ryanair,254,74,296,624,27.3,22.9
04/09/2012 14:30,2008Q2,Thomas Cook Airlines,9,48,89,146,8.5,17.1
04/09/2012 14:30,2008Q2,Thomson Airways,40,56,148,244,9.7,25
04/09/2012 14:30,2008Q2,Virgin Atlantic Airways,44,34,139,217,5.9,36.8
04/09/2012 14:30,2008Q2,Wizz Air Hungary Airlines Ltd,57,14,10,81,2.1,39.1
04/09/2012 14:30,2008Q2,Other Airlines,390,179,663,1232,55,22.4
04/09/2012 14:30,2008Q2,Total Airline Complaints,2122,874,2761,5757,218.8,26.3
04/09/2012 14:30,2008Q2,Other Complaints,8,5,106,119,,
04/09/2012 14:30,2008Q2,Total Complaints,2130,879,2867,5876,,
