Run_Date,YE_Quarter,Entity,Cancellations,Delays,Other,Total Complaints,Passengers (m),Complaints per million passengers
04/09/2012 14:30,2010Q1,Aer Lingus,30,7,18,55,4.6,11.9
04/09/2012 14:30,2010Q1,Air France,36,15,70,121,1,123.4
04/09/2012 14:30,2010Q1,AirAsia.com,0,65,2,67,0.2,434.5
04/09/2012 14:30,2010Q1,BMI,30,8,37,75,4.8,15.6
04/09/2012 14:30,2010Q1,bmi baby,119,8,143,270,2.8,96.4
04/09/2012 14:30,2010Q1,British Airways plc,221,82,388,691,31.8,21.7
04/09/2012 14:30,2010Q1,Continental Airlines,29,20,20,69,1.5,46.8
04/09/2012 14:30,2010Q1,Delta Airlines,34,3,14,51,1,53.5
04/09/2012 14:30,2010Q1,EasyJet,829,208,357,1394,28.6,48.7
04/09/2012 14:30,2010Q1,Emirates,7,9,63,79,3.2,24.5
04/09/2012 14:30,2010Q1,Flybe,99,39,97,235,6.9,34.1
04/09/2012 14:30,2010Q1,FlyGlobespan,7,19,29,55,1,52.8
04/09/2012 14:30,2010Q1,Iberia,21,21,75,117,0.9,126.8
04/09/2012 14:30,2010Q1,Jet2,3,14,46,63,3,21.2
04/09/2012 14:30,2010Q1,KLM Royal Dutch Airlines,29,7,69,105,3.4,31.1
04/09/2012 14:30,2010Q1,Lufthansa German Airlines,50,4,69,123,3,41.3
04/09/2012 14:30,2010Q1,Monarch Airlines Limited,19,64,57,140,5.7,24.8
04/09/2012 14:30,2010Q1,Ryanair,158,78,422,658,27.6,23.8
04/09/2012 14:30,2010Q1,Thomas Cook Airlines,17,81,87,185,8.2,22.7
04/09/2012 14:30,2010Q1,Thomson Airways,13,63,70,146,10.8,13.5
04/09/2012 14:30,2010Q1,Virgin Atlantic Airways,31,44,139,214,5.5,38.7
04/09/2012 14:30,2010Q1,Wizz Air Hungary Airlines Ltd,50,17,21,88,2.1,42.5
04/09/2012 14:30,2010Q1,Other Airlines,358,144,618,1120,40.4,27.7
04/09/2012 14:30,2010Q1,Total Airline Complaints,2190,1020,2911,6121,197.9,30.9
04/09/2012 14:30,2010Q1,Other Complaints,12,1,164,177,,
04/09/2012 14:30,2010Q1,Total Complaints,2202,1021,3075,6298,,
