run_date,yyyyqq,start_date,travel_date,entity,complaint_reason
19/09/2013,2013Q1,02/01/2013,01/11/2012,Iberia,Missed connection
19/09/2013,2013Q1,02/01/2013,25/11/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,02/01/2013,30/11/2012,Air Blue,Delay
19/09/2013,2013Q1,02/01/2013,23/06/2011,Ryanair,Delay
19/09/2013,2013Q1,02/01/2013,11/06/2012,Jet2.Com,Delay
19/09/2013,2013Q1,02/01/2013,06/10/2012,Wizz Air,Delay
19/09/2013,2013Q1,02/01/2013,28/09/2012,Germanwings,Delay
19/09/2013,2013Q1,02/01/2013,14/11/2012,Emirates,Pre-departure
19/09/2013,2013Q1,02/01/2013,30/06/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,02/01/2013,13/11/2012,Etihad Airways,In flight
19/09/2013,2013Q1,02/01/2013,12/07/2011,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,02/01/2013,30/08/2008,Thomson Airways,Delay
19/09/2013,2013Q1,02/01/2013,30/11/2012,Air Blue,Delay
19/09/2013,2013Q1,02/01/2013,27/10/2012,South African Airways,Delay
19/09/2013,2013Q1,02/01/2013,12/12/2012,Air Mauritius Ltd,Delay
19/09/2013,2013Q1,02/01/2013,30/08/2011,Kenya Airways,Delay
19/09/2013,2013Q1,02/01/2013,07/09/2012,Thomson Airways,Delay
19/09/2013,2013Q1,02/01/2013,06/03/2006,BMI,Delay
19/09/2013,2013Q1,02/01/2013,12/11/2012,Alitalia,Missed connection
19/09/2013,2013Q1,02/01/2013,05/12/2012,Malaysian Airlines System -MAS,Baggage
19/09/2013,2013Q1,02/01/2013,02/10/2012,Thomson Airways,Delay
19/09/2013,2013Q1,02/01/2013,25/11/2012,KLM,Baggage
19/09/2013,2013Q1,02/01/2013,01/07/2007,First Choice Airways,Delay
19/09/2013,2013Q1,02/01/2013,02/12/2012,Singapore Airlines,Pre-departure
19/09/2013,2013Q1,02/01/2013,13/08/2012,British Airways,Delay
19/09/2013,2013Q1,02/01/2013,03/09/2012,Onur Air,Delay
19/09/2013,2013Q1,02/01/2013,18/11/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,02/01/2013,26/02/2010,United Airlines,Delay
19/09/2013,2013Q1,02/01/2013,11/09/2012,Monarch Airlines,Delay
19/09/2013,2013Q1,02/01/2013,,Qatar Airways,Other
19/09/2013,2013Q1,02/01/2013,26/10/2012,Wizz Air,Delay
19/09/2013,2013Q1,02/01/2013,02/01/2013,British Airways,Missed connection
19/09/2013,2013Q1,02/01/2013,27/06/2012,BMI,Missed connection
19/09/2013,2013Q1,02/01/2013,28/12/2012,Ryanair,Delay
19/09/2013,2013Q1,02/01/2013,16/09/2012,American Airlines,Cancellation
19/09/2013,2013Q1,02/01/2013,26/08/2012,Norwegian Air Shuttle,Diversion
19/09/2013,2013Q1,02/01/2013,19/08/2012,Air Canada,Delay
19/09/2013,2013Q1,02/01/2013,,BMI,Baggage
19/09/2013,2013Q1,02/01/2013,02/02/2007,Singapore Airlines,Delay
19/09/2013,2013Q1,02/01/2013,09/04/2012,Virgin Atlantic Airways,Delay
19/09/2013,2013Q1,02/01/2013,04/02/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,23/05/2009,US Airways,Delay
19/09/2013,2013Q1,03/01/2013,31/05/2011,Jet2.Com,Delay
19/09/2013,2013Q1,03/01/2013,17/11/2012,Thomas Cook Airlines,Diversion
19/09/2013,2013Q1,03/01/2013,10/11/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,22/12/2012,Easyjet Airline Company,Reservations
19/09/2013,2013Q1,03/01/2013,22/10/2012,British Airways,Cancellation
19/09/2013,2013Q1,03/01/2013,07/11/2011,Easyjet Airline Company,Delay
19/09/2013,2013Q1,03/01/2013,05/12/2012,Ryanair,Cancellation
19/09/2013,2013Q1,03/01/2013,10/03/2012,Aer Lingus,Cancellation
19/09/2013,2013Q1,03/01/2013,15/09/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,06/11/2012,British Airways,Delay
19/09/2013,2013Q1,03/01/2013,20/05/2012,British Airways,Baggage
19/09/2013,2013Q1,03/01/2013,08/12/2012,Flybe,Cancellation
19/09/2013,2013Q1,03/01/2013,07/07/2006,Easyjet Airline Company,Cancellation
19/09/2013,2013Q1,03/01/2013,01/09/2012,LOT Polish Airlines,Cancellation
19/09/2013,2013Q1,03/01/2013,01/12/2012,Air France,Cancellation
19/09/2013,2013Q1,03/01/2013,,TRAVEL AGENT,Reservations
19/09/2013,2013Q1,03/01/2013,23/11/2012,Flybe,Cancellation
19/09/2013,2013Q1,03/01/2013,,British Airways,Refunds
19/09/2013,2013Q1,03/01/2013,06/07/2012,Jet2.Com,Baggage
19/09/2013,2013Q1,03/01/2013,27/10/2012,Easyjet Airline Company,Delay
19/09/2013,2013Q1,03/01/2013,12/08/2012,Ryanair,Diversion
19/09/2013,2013Q1,03/01/2013,03/08/2011,Wizz Air,Pre-departure
19/09/2013,2013Q1,03/01/2013,01/12/2009,Jet Airways,Denied boarding
19/09/2013,2013Q1,03/01/2013,28/09/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,30/10/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,26/11/2012,Aer Lingus,Delay
19/09/2013,2013Q1,03/01/2013,15/07/2007,Iberia,Delay
19/09/2013,2013Q1,03/01/2013,01/02/2006,Singapore Airlines,Delay
19/09/2013,2013Q1,03/01/2013,23/05/2011,Easyjet Airline Company,Delay
19/09/2013,2013Q1,03/01/2013,14/10/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,15/07/2012,Jet2.Com,Delay
19/09/2013,2013Q1,03/01/2013,06/09/2011,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,03/11/2012,Alitalia,Cancellation
19/09/2013,2013Q1,03/01/2013,27/09/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,19/11/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,24/09/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,30/09/2012,Thomson Airways,Delay
19/09/2013,2013Q1,03/01/2013,23/07/2012,Thomson Airways,Delay
19/09/2013,2013Q1,03/01/2013,12/08/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,05/08/2011,British Airways,Delay
19/09/2013,2013Q1,03/01/2013,21/05/2012,Croatia Airlines,Delay
19/09/2013,2013Q1,03/01/2013,22/11/2012,Iberia,Delay
19/09/2013,2013Q1,03/01/2013,31/03/2012,Air Canada,Delay
19/09/2013,2013Q1,03/01/2013,06/09/2012,Thomson Airways,Delay
19/09/2013,2013Q1,03/01/2013,07/06/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,15/08/2005,British Airways,Delay
19/09/2013,2013Q1,03/01/2013,23/06/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,10/11/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,12/10/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,18/09/2012,Air France,Denied boarding
19/09/2013,2013Q1,03/01/2013,07/11/2012,Virgin Atlantic Airways,Delay
19/09/2013,2013Q1,03/01/2013,29/10/2012,Monarch Airlines,Delay
19/09/2013,2013Q1,03/01/2013,01/09/2012,Monarch Airlines,Delay
19/09/2013,2013Q1,03/01/2013,23/11/2012,Easyjet Airline Company,Delay
19/09/2013,2013Q1,03/01/2013,22/09/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,18/09/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,27/12/2012,Easyjet Airline Company,Delay
19/09/2013,2013Q1,03/01/2013,15/10/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,13/06/2011,Jet2.Com,Delay
19/09/2013,2013Q1,03/01/2013,15/09/2009,Ryanair,Delay
19/09/2013,2013Q1,03/01/2013,18/01/2011,Thomson Airways,Delay
19/09/2013,2013Q1,03/01/2013,18/09/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,02/01/2009,Easyjet Airline Company,Delay
19/09/2013,2013Q1,03/01/2013,27/06/2008,British Airways,Delay
19/09/2013,2013Q1,03/01/2013,14/02/2010,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,21/10/2007,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,08/09/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,03/01/2013,30/07/2007,Monarch Airlines,Delay
19/09/2013,2013Q1,03/01/2013,03/09/2010,Eurocypria Airlines Ltd,Cancellation
19/09/2013,2013Q1,03/01/2013,15/10/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,12/10/2012,Pegasus Airlines,Baggage
19/09/2013,2013Q1,04/01/2013,14/10/2012,Flybe,Cancellation
19/09/2013,2013Q1,04/01/2013,21/05/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,31/05/2010,Ryanair,Delay
19/09/2013,2013Q1,04/01/2013,23/10/2010,Icelandair,Delay
19/09/2013,2013Q1,04/01/2013,28/06/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,,Ryanair,Delay
19/09/2013,2013Q1,04/01/2013,18/11/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,16/12/2012,Emirates,Baggage
19/09/2013,2013Q1,04/01/2013,22/12/2012,Monarch Airlines,Delay
19/09/2013,2013Q1,04/01/2013,,Pakistan International Airlines PIA,In flight
19/09/2013,2013Q1,04/01/2013,11/09/2012,Monarch Airlines,Delay
19/09/2013,2013Q1,04/01/2013,16/12/2012,Emirates,Baggage
19/09/2013,2013Q1,04/01/2013,,Other,In flight
19/09/2013,2013Q1,04/01/2013,01/01/2013,Easyjet Airline Company,Baggage
19/09/2013,2013Q1,04/01/2013,12/12/2012,British Airways,Cancellation
19/09/2013,2013Q1,04/01/2013,11/07/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,,Pakistan International Airlines PIA,Delay
19/09/2013,2013Q1,04/01/2013,24/09/2012,United Airlines,Cancellation
19/09/2013,2013Q1,04/01/2013,05/08/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,28/01/2013,KLM,Reservations
19/09/2013,2013Q1,04/01/2013,27/08/2012,Thomson Airways,Delay
19/09/2013,2013Q1,04/01/2013,,Other,Delay
19/09/2013,2013Q1,04/01/2013,10/11/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,19/08/2012,Flybe,Cancellation
19/09/2013,2013Q1,04/01/2013,09/12/2012,Emirates,Delay
19/09/2013,2013Q1,04/01/2013,21/11/2012,Thomson Airways,Delay
19/09/2013,2013Q1,04/01/2013,12/09/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,08/05/2012,Ryanair,Delay
19/09/2013,2013Q1,04/01/2013,11/12/2012,Emirates,Baggage
19/09/2013,2013Q1,04/01/2013,08/10/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,20/10/2006,British Airways,Delay
19/09/2013,2013Q1,04/01/2013,06/06/2010,Monarch Airlines,Delay
19/09/2013,2013Q1,04/01/2013,12/08/2010,Easyjet Airline Company,Delay
19/09/2013,2013Q1,04/01/2013,12/02/2012,Thomson Airways,Delay
19/09/2013,2013Q1,04/01/2013,17/06/2012,Mistral Air,Schedule changes
19/09/2013,2013Q1,04/01/2013,25/11/2011,Thomson Airways,Delay
19/09/2013,2013Q1,04/01/2013,01/12/2012,Lufthansa,Cancellation
19/09/2013,2013Q1,04/01/2013,22/11/2012,Emirates,Baggage
19/09/2013,2013Q1,04/01/2013,26/10/2012,Iberia,Missed connection
19/09/2013,2013Q1,04/01/2013,08/06/2010,Thomson Airways,Delay
19/09/2013,2013Q1,04/01/2013,29/09/2012,Kuwait Airways,Baggage
19/09/2013,2013Q1,04/01/2013,10/12/2012,Ryanair,Delay
19/09/2013,2013Q1,04/01/2013,21/07/2012,Alitalia,Denied boarding
19/09/2013,2013Q1,04/01/2013,11/09/2006,Ryanair,Cancellation
19/09/2013,2013Q1,04/01/2013,13/12/2012,Lufthansa,Refunds
19/09/2013,2013Q1,04/01/2013,17/11/2012,Ryanair,Diversion
19/09/2013,2013Q1,04/01/2013,06/10/2012,Ryanair,Baggage
19/09/2013,2013Q1,04/01/2013,28/09/2012,British Airways,In flight
19/09/2013,2013Q1,04/01/2013,25/10/2012,Loganair,Cancellation
19/09/2013,2013Q1,04/01/2013,06/11/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,21/10/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,01/11/2012,Thomson Airways,Delay
19/09/2013,2013Q1,04/01/2013,21/06/2011,Olympic Air,Delay
19/09/2013,2013Q1,04/01/2013,18/01/2010,British Airways,Delay
19/09/2013,2013Q1,04/01/2013,16/10/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,12/09/2011,Flybe,Delay
19/09/2013,2013Q1,04/01/2013,01/06/2012,United Airlines,Delay
19/09/2013,2013Q1,04/01/2013,19/06/2010,Jet2.Com,Delay
19/09/2013,2013Q1,04/01/2013,21/08/2012,Monarch Airlines,Delay
19/09/2013,2013Q1,04/01/2013,26/06/2011,US Airways,Delay
19/09/2013,2013Q1,04/01/2013,18/02/2010,Pegasus Airlines,Delay
19/09/2013,2013Q1,04/01/2013,18/11/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,07/11/2012,Virgin Atlantic Airways,Delay
19/09/2013,2013Q1,04/01/2013,19/01/2012,Emirates,Delay
19/09/2013,2013Q1,04/01/2013,26/10/2012,Thomas Cook Airlines,Diversion
19/09/2013,2013Q1,04/01/2013,04/12/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,24/10/2012,Virgin Atlantic Airways,Delay
19/09/2013,2013Q1,04/01/2013,15/09/2012,Thomson Airways,Delay
19/09/2013,2013Q1,04/01/2013,16/10/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,15/08/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,15/06/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,06/09/2012,Thomson Airways,Delay
19/09/2013,2013Q1,04/01/2013,04/08/2006,First Choice Airways,Delay
19/09/2013,2013Q1,04/01/2013,10/07/2012,United Airlines,Cancellation
19/09/2013,2013Q1,04/01/2013,08/06/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,23/09/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,10/05/2012,Virgin Atlantic Airways,Delay
19/09/2013,2013Q1,04/01/2013,15/06/2012,Thomson Airways,Delay
19/09/2013,2013Q1,04/01/2013,05/08/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,29/09/2005,Other,Cancellation
19/09/2013,2013Q1,04/01/2013,15/10/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,28/12/2012,Flybe,Refunds
19/09/2013,2013Q1,04/01/2013,29/06/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,23/12/2007,US Airways,Delay
19/09/2013,2013Q1,04/01/2013,13/06/2008,British Airways,Delay
19/09/2013,2013Q1,04/01/2013,02/08/2011,Iberia,Delay
19/09/2013,2013Q1,04/01/2013,10/07/2010,Easyjet Airline Company,Delay
19/09/2013,2013Q1,04/01/2013,22/10/2012,Monarch Airlines,Delay
19/09/2013,2013Q1,04/01/2013,23/09/2012,Thomas Cook Airlines,Diversion
19/09/2013,2013Q1,04/01/2013,15/09/2012,Thomson Airways,Delay
19/09/2013,2013Q1,04/01/2013,20/09/2010,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,02/07/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,04/01/2013,23/08/2011,Strategic Airlines (France),Cancellation
19/09/2013,2013Q1,07/01/2013,13/12/2012,British Airways,Denied boarding
19/09/2013,2013Q1,07/01/2013,15/08/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,07/01/2013,09/10/2012,Easyjet Airline Company,Denied boarding
19/09/2013,2013Q1,07/01/2013,11/09/2012,Monarch Airlines,Delay
19/09/2013,2013Q1,07/01/2013,10/11/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,07/01/2013,24/08/2011,Wizz Air,Delay
19/09/2013,2013Q1,07/01/2013,21/09/2012,Monarch Airlines,Delay
19/09/2013,2013Q1,07/01/2013,22/11/2012,British Airways,At the airport
19/09/2013,2013Q1,07/01/2013,01/11/2012,Wizz Air,Delay
19/09/2013,2013Q1,07/01/2013,15/08/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,07/01/2013,25/10/2012,British Airways,Missed connection
19/09/2013,2013Q1,07/01/2013,24/12/2012,Easyjet Airline Company,Diversion
19/09/2013,2013Q1,07/01/2013,03/11/2010,Thomson Airways,Delay
19/09/2013,2013Q1,07/01/2013,11/11/2012,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,07/01/2013,26/11/2012,Easyjet Airline Company,Diversion
19/09/2013,2013Q1,07/01/2013,19/06/2009,Easyjet Airline Company,Delay
19/09/2013,2013Q1,07/01/2013,27/07/2012,Jet2.Com,Delay
19/09/2013,2013Q1,07/01/2013,07/10/2012,Monarch Airlines,Delay
19/09/2013,2013Q1,07/01/2013,24/10/2007,Thomas Cook Airlines,Delay
19/09/2013,2013Q1,07/01/2013,07/10/2012,Monarch Airlines,Delay
19/09/2013,2013Q1,07/01/2013,21/12/2012,Easyjet Airline Company,Delay
