Run_Date,YE_Quarter,Entity,Cancellations,Delays,Other,Total Complaints,Passengers (m),Complaints per million passengers
04/09/2012 14:30,2009Q3,Air France,23,7,65,95,1,97.3
04/09/2012 14:30,2009Q3,BMI,35,5,49,89,5.3,16.7
04/09/2012 14:30,2009Q3,bmi baby,124,4,140,268,3.1,85.6
04/09/2012 14:30,2009Q3,British Airways plc,195,43,310,548,32.7,16.8
04/09/2012 14:30,2009Q3,EasyJet,280,119,327,726,27.9,26
04/09/2012 14:30,2009Q3,Emirates,5,6,59,70,3,23
04/09/2012 14:30,2009Q3,Flybe,93,34,91,218,6.8,32.1
04/09/2012 14:30,2009Q3,FlyGlobespan,5,23,38,66,1.3,51.1
04/09/2012 14:30,2009Q3,Iberia,19,22,51,92,1,89.6
04/09/2012 14:30,2009Q3,Jet2,4,10,41,55,3.1,17.6
04/09/2012 14:30,2009Q3,KLM Royal Dutch Airlines,29,5,52,86,3.5,24.9
04/09/2012 14:30,2009Q3,Lufthansa German Airlines,31,3,42,76,2.8,27.4
04/09/2012 14:30,2009Q3,Monarch Airlines Limited,7,35,51,93,5.9,15.7
04/09/2012 14:30,2009Q3,Ryanair,197,82,420,699,28.6,24.5
04/09/2012 14:30,2009Q3,Thomas Cook Airlines,7,63,95,165,8.3,19.9
04/09/2012 14:30,2009Q3,Thomson Airways,11,57,106,174,11.5,15.1
04/09/2012 14:30,2009Q3,Virgin Atlantic Airways,46,48,141,235,5.7,41.3
04/09/2012 14:30,2009Q3,Wizz Air Hungary Airlines Ltd,104,10,27,141,2,71.9
04/09/2012 14:30,2009Q3,Other Airlines,372,151,642,1165,46.9,24.9
04/09/2012 14:30,2009Q3,Total Airline Complaints,1587,727,2747,5061,200.4,25.3
04/09/2012 14:30,2009Q3,Other Complaints,7,0,122,129,,
04/09/2012 14:30,2009Q3,Total Complaints,1594,727,2869,5190,,
