run_date,yyyyqq,start_date,travel_date,entity,complaint_reason
"04/09/2012 14:30","2007Q4","01/10/2007","27/08/2007","Alitalia","Cancellations"
"04/09/2012 14:30","2007Q4","01/10/2007","05/08/2007","EasyJet","Delays"
"04/09/2012 14:30","2007Q4","01/10/2007","28/09/2007","Centralwings","Cancellations"
"04/09/2012 14:30","2007Q4","01/10/2007","03/08/2007","EasyJet","Cancellations"
"04/09/2012 14:30","2007Q4","01/10/2007","14/07/2007","Thomson Airways","Taxes, fees and charges"
"04/09/2012 14:30","2007Q4","01/10/2007","18/08/2007","Ryanair","Delays"
"04/09/2012 14:30","2007Q4","01/10/2007","12/07/2007","BMI","Reservation Issues"
"04/09/2012 14:30","2007Q4","01/10/2007","22/07/2007","Ryanair","Cancellations"
"04/09/2012 14:30","2007Q4","01/10/2007","12/07/2007","GB Airways","Mishandled baggage"
"04/09/2012 14:30","2007Q4","01/10/2007","09/08/2007","Ryanair","Delays"
"04/09/2012 14:30","2007Q4","01/10/2007","07/08/2007","bmi baby","Cancellations"
"04/09/2012 14:30","2007Q4","01/10/2007","27/07/2007","Jet2","Reservation Issues"
"04/09/2012 14:30","2007Q4","01/10/2007","27/01/2007","Air India","Delays"
"04/09/2012 14:30","2007Q4","01/10/2007","21/08/2007","Thomson Airways","Delays"
"04/09/2012 14:30","2007Q4","01/10/2007","10/09/2007","British Airways plc","Ticketing / refund"
"04/09/2012 14:30","2007Q4","01/10/2007","30/08/2007","Flybe","Seating"
"04/09/2012 14:30","2007Q4","01/10/2007","18/07/2007","Thomas Cook Airlines","Denied Boarding"
"04/09/2012 14:30","2007Q4","01/10/2007","01/07/2007","EasyJet","Cancellations"
"04/09/2012 14:30","2007Q4","01/10/2007","15/08/2007","Flybe","Delays"
"04/09/2012 14:30","2007Q4","01/10/2007","","Airport","Other"
"04/09/2012 14:30","2007Q4","01/10/2007","27/07/2006","Kenya Airways Ltd","Mishandled baggage"
"04/09/2012 14:30","2007Q4","01/10/2007","","Airport","Security"
"04/09/2012 14:30","2007Q4","01/10/2007","04/06/2007","Spanair","Mishandled baggage"
"04/09/2012 14:30","2007Q4","01/10/2007","23/09/2007","Excel Airways","Other"
"04/09/2012 14:30","2007Q4","01/10/2007","11/09/2007","EasyJet","Check-in problems"
"04/09/2012 14:30","2007Q4","02/10/2007","17/09/2007","British Airways plc","Denied Boarding"
"04/09/2012 14:30","2007Q4","02/10/2007","11/05/2007","British Airways plc","Schedule Changes"
"04/09/2012 14:30","2007Q4","02/10/2007","12/10/2007","bmi baby","Schedule Changes"
"04/09/2012 14:30","2007Q4","02/10/2007","19/07/2007","bmi baby","Cancellations"
"04/09/2012 14:30","2007Q4","02/10/2007","01/11/2007","EasyJet","Reservation Issues"
"04/09/2012 14:30","2007Q4","02/10/2007","01/08/2007","Cyprus Airways","Cancellations"
"04/09/2012 14:30","2007Q4","02/10/2007","20/01/2007","Ajet Airways","Cancellations"
"04/09/2012 14:30","2007Q4","02/10/2007","","Emirates","Mishandled baggage"
"04/09/2012 14:30","2007Q4","02/10/2007","29/07/2007","Flybe","Cancellations"
"04/09/2012 14:30","2007Q4","02/10/2007","26/07/2007","Israir Airlines","Denied Boarding"
"04/09/2012 14:30","2007Q4","02/10/2007","08/07/2007","Qatar Airways","Cancellations"
"04/09/2012 14:30","2007Q4","02/10/2007","18/09/2007","Monarch Airlines Limited","Delays"
"04/09/2012 14:30","2007Q4","02/10/2007","01/09/2007","Virgin Atlantic Airways","Other"
"04/09/2012 14:30","2007Q4","02/10/2007","25/07/2007","Virgin Atlantic Airways","Cancellations"
"04/09/2012 14:30","2007Q4","02/10/2007","14/07/2007","Atlas Blue","Delays"
"04/09/2012 14:30","2007Q4","02/10/2007","20/07/2007","Ryanair","Cancellations"
"04/09/2012 14:30","2007Q4","02/10/2007","23/07/2007","FlyGlobespan","Delays"
"04/09/2012 14:30","2007Q4","02/10/2007","20/08/2007","British Airways plc","Cancellations"
"04/09/2012 14:30","2007Q4","02/10/2007","05/07/2007","Royal Air Maroc","Delays"
"04/09/2012 14:30","2007Q4","02/10/2007","01/07/2007","Kenya Airways Ltd","Denied Boarding"
"04/09/2012 14:30","2007Q4","02/10/2007","28/08/2007","Wizz Air Hungary Airlines Ltd","Cancellations"
"04/09/2012 14:30","2007Q4","03/10/2007","22/09/2007","EasyJet","Delays"
"04/09/2012 14:30","2007Q4","03/10/2007","20/07/2007","Flybe","Ticketing / refund"
"04/09/2012 14:30","2007Q4","03/10/2007","22/07/2007","EasyJet","Ground Services"
"04/09/2012 14:30","2007Q4","03/10/2007","01/03/2007","Wizz Air Hungary Airlines Ltd","Cancellations"
"04/09/2012 14:30","2007Q4","03/10/2007","31/08/2007","Emirates","Seating"
"04/09/2012 14:30","2007Q4","03/10/2007","28/09/2007","Virgin Atlantic Airways","Ground Services"
"04/09/2012 14:30","2007Q4","03/10/2007","25/06/2007","EasyJet","Reservation Issues"
"04/09/2012 14:30","2007Q4","03/10/2007","19/03/2007","EasyJet","Mishandled baggage"
"04/09/2012 14:30","2007Q4","03/10/2007","07/07/2007","Etihad Airways","Delays"
"04/09/2012 14:30","2007Q4","03/10/2007","04/09/2007","EasyJet","Cancellations"
"04/09/2012 14:30","2007Q4","03/10/2007","18/01/2007","British Airways plc","Delays"
"04/09/2012 14:30","2007Q4","03/10/2007","24/07/2007","Iberia","Denied Boarding"
"04/09/2012 14:30","2007Q4","03/10/2007","31/05/2007","Flybe","Delays"
"04/09/2012 14:30","2007Q4","03/10/2007","16/09/2007","British Airways plc","Mishandled baggage"
"04/09/2012 14:30","2007Q4","03/10/2007","04/04/2007","Biman Bangladesh Airlines","Cancellations"
"04/09/2012 14:30","2007Q4","03/10/2007","22/02/2007","KLM Royal Dutch Airlines","Mishandled baggage"
"04/09/2012 14:30","2007Q4","03/10/2007","30/06/2007","British Airways plc","Delays"
"04/09/2012 14:30","2007Q4","03/10/2007","12/08/2007","KLM Royal Dutch Airlines","Mishandled baggage"
"04/09/2012 14:30","2007Q4","03/10/2007","15/06/2007","GB Airways","Mishandled baggage"
"04/09/2012 14:30","2007Q4","03/10/2007","09/10/2007","Thomson Airways","Delays"
"04/09/2012 14:30","2007Q4","03/10/2007","21/09/2007","bmi baby","Cancellations"
"04/09/2012 14:30","2007Q4","03/10/2007","20/07/2007","British Airways plc","Cancellations"
"04/09/2012 14:30","2007Q4","03/10/2007","15/07/2007","TAP - Air Portugal","Mishandled baggage"
"04/09/2012 14:30","2007Q4","04/10/2007","19/09/2007","Flybe","Delays"
"04/09/2012 14:30","2007Q4","04/10/2007","25/09/2007","Flybe","Delays"
"04/09/2012 14:30","2007Q4","04/10/2007","13/12/2007","British Airways plc","Cancellations"
"04/09/2012 14:30","2007Q4","04/10/2007","15/06/2007","Flybe","Cancellations"
"04/09/2012 14:30","2007Q4","04/10/2007","26/04/2007","Wizz Air Hungary Airlines Ltd","Delays"
"04/09/2012 14:30","2007Q4","04/10/2007","22/09/2007","Ryanair","Cancellations"
"04/09/2012 14:30","2007Q4","04/10/2007","14/06/2007","Thomson Airways","Baggage Allowance"
"04/09/2012 14:30","2007Q4","04/10/2007","21/06/2007","British Airways plc","Mishandled baggage"
"04/09/2012 14:30","2007Q4","04/10/2007","22/07/2007","GB Airways","Denied Boarding"
"04/09/2012 14:30","2007Q4","04/10/2007","22/07/2007","US Airways","Cancellations"
"04/09/2012 14:30","2007Q4","04/10/2007","26/08/2007","FlyGlobespan","Delays"
"04/09/2012 14:30","2007Q4","04/10/2007","23/08/2007","British Airways plc","Delays"
"04/09/2012 14:30","2007Q4","04/10/2007","26/06/2007","EasyJet","Reservation Issues"
"04/09/2012 14:30","2007Q4","04/10/2007","29/08/2007","Ryanair","Ground Services"
"04/09/2012 14:30","2007Q4","04/10/2007","07/08/2007","bmi baby","Reservation Issues"
"04/09/2012 14:30","2007Q4","04/10/2007","17/08/2007","Excel Airways","Seating"
"04/09/2012 14:30","2007Q4","04/10/2007","21/08/2007","British Airways plc","Delays"
"04/09/2012 14:30","2007Q4","04/10/2007","14/07/2007","Ryanair","Cancellations"
"04/09/2012 14:30","2007Q4","04/10/2007","20/07/2007","Ryanair","Cancellations"
"04/09/2012 14:30","2007Q4","04/10/2007","01/10/2007","bmi baby","Cancellations"
"04/09/2012 14:30","2007Q4","04/10/2007","29/08/2007","Air France","Mishandled baggage"
"04/09/2012 14:30","2007Q4","05/10/2007","20/07/2007","Middle East Airlines","Mishandled baggage"
"04/09/2012 14:30","2007Q4","05/10/2007","15/07/2007","Ryanair","Delays"
"04/09/2012 14:30","2007Q4","05/10/2007","","British Airways plc","Ticketing / refund"
"04/09/2012 14:30","2007Q4","05/10/2007","20/07/2007","British Airways plc","Special Needs"
"04/09/2012 14:30","2007Q4","05/10/2007","","bmi baby","Cancellations"
"04/09/2012 14:30","2007Q4","05/10/2007","11/09/2007","BMI","Mishandled baggage"
"04/09/2012 14:30","2007Q4","05/10/2007","28/06/2007","Iberia","Mishandled baggage"
"04/09/2012 14:30","2007Q4","05/10/2007","15/07/2007","Zoom Airlines","Delays"
"04/09/2012 14:30","2007Q4","05/10/2007","","Monarch Airlines Limited","Cancellations"
