Run_Date,YE_Quarter,Entity,Cancellations,Delays,Other,Total Complaints,Passengers (m),Complaints per million passengers
04/09/2012 14:30,2008Q3,Aer Lingus,25,9,27,61,3.6,16.8
04/09/2012 14:30,2008Q3,Air France,27,8,65,100,1.1,89.1
04/09/2012 14:30,2008Q3,Air India,38,13,29,80,0.5,172.7
04/09/2012 14:30,2008Q3,American Airlines,29,4,24,57,2.6,21.7
04/09/2012 14:30,2008Q3,BMI,38,14,55,107,5.8,18.6
04/09/2012 14:30,2008Q3,bmi baby,141,12,70,223,4.3,51.7
04/09/2012 14:30,2008Q3,British Airways plc,463,77,398,938,34.3,27.3
04/09/2012 14:30,2008Q3,EasyJet,388,69,326,783,28.5,27.4
04/09/2012 14:30,2008Q3,Emirates,1,4,64,69,2.9,23.8
04/09/2012 14:30,2008Q3,Excel Airways,14,41,49,104,2.2,47.2
04/09/2012 14:30,2008Q3,First Choice,5,24,35,64,2.5,25.3
04/09/2012 14:30,2008Q3,Flybe,154,62,101,317,7,45.1
04/09/2012 14:30,2008Q3,FlyGlobespan,20,30,44,94,1.7,56.8
04/09/2012 14:30,2008Q3,Iberia,14,13,62,89,1.1,80.8
04/09/2012 14:30,2008Q3,Jet2,9,6,67,82,3.6,22.7
04/09/2012 14:30,2008Q3,KLM Royal Dutch Airlines,48,5,61,114,3.8,29.6
04/09/2012 14:30,2008Q3,Lufthansa German Airlines,21,4,36,61,2.8,21.5
04/09/2012 14:30,2008Q3,Monarch Airlines Limited,9,31,41,81,6.1,13.2
04/09/2012 14:30,2008Q3,Ryanair,175,63,352,590,28.2,20.9
04/09/2012 14:30,2008Q3,Thomas Cook Airlines,13,65,113,191,8.4,22.6
04/09/2012 14:30,2008Q3,Thomson Airways,38,52,127,217,11.4,19
04/09/2012 14:30,2008Q3,Virgin Atlantic Airways,50,32,136,218,5.9,36.9
04/09/2012 14:30,2008Q3,Wizz Air Hungary Airlines Ltd,85,14,13,112,2.1,52.6
04/09/2012 14:30,2008Q3,Other Airlines,353,168,598,1119,46.9,23.9
04/09/2012 14:30,2008Q3,Total Airline Complaints,2158,820,2893,5871,217.6,27
04/09/2012 14:30,2008Q3,Other Complaints,9,3,118,130,,
04/09/2012 14:30,2008Q3,Total Complaints,2167,823,3011,6001,,
